/*********************************************
 * OPL 20.1.0.0 Data
 * Author: Lenovo
 * Creation Date: 7/02/2022 at 2:06:42 p. m.
 *********************************************/

 totalAnalysisAreas = 7;
 totalPrescriptions = 3;
 
 thousandAcres = [75, 90, 140, 60, 212, 98, 113];
 
 netPresentValue = [
 [503, 140, 203],
 [675, 100, 45],
 [630, 105, 40],
 [330, 40, 295],
 [105, 460, 120],
 [490, 55, 180],
 [705, 60, 400]
 ];
 
 projectedTimberYield = [
 [310, 50, 0],
 [198, 46, 0],
 [210, 57, 0],
 [112, 30, 0],
 [40, 32, 0],
 [105, 25, 0],
 [213, 40, 0]
 ];
 
 projectedGrazingCapability = [
 [0.01, 0.04, 0],
 [0.03, 0.06, 0],
 [0.04, 0.07, 0],
 [0.01, 0.02, 0],
 [0.05, 0.08, 0],
 [0.02, 0.03, 0],
 [0.02, 0.04, 0]
 ];
 
 wildernessIndex = [
 [40, 80, 95],
 [55, 60, 65],
 [45, 55, 60],
 [30, 35, 90],
 [60, 60, 70],
 [35, 50, 75],
 [40, 45, 95]
 ];
